-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2026 through 04/20/2026 in LST
Location: latitude  13.9338   longitude 75.573 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 661.12 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN
2026,1,1,4.3039
2026,1,2,4.561
2026,1,3,4.8773
2026,1,4,5.5166
2026,1,5,5.6359
2026,1,6,5.3801
2026,1,7,5.424
2026,1,8,5.5733
2026,1,9,5.5997
2026,1,10,5.3419
2026,1,11,4.1318
2026,1,12,4.6387
2026,1,13,3.5892
2026,1,14,4.1268
2026,1,15,4.925
2026,1,16,5.243
2026,1,17,5.833
2026,1,18,5.8219
2026,1,19,5.7974
2026,1,20,5.693
2026,1,21,5.7756
2026,1,22,5.8294
2026,1,23,5.8474
2026,1,24,5.7101
2026,1,25,5.315
2026,1,26,5.0887
2026,1,27,4.7777
2026,1,28,5.413
2026,1,29,5.5169
2026,1,30,5.9914
2026,1,31,6.1171
2026,2,1,6.0698
2026,2,2,5.8109
2026,2,3,4.9702
2026,2,4,6.078
2026,2,5,6.2102
2026,2,6,6.2496
2026,2,7,6.2575
2026,2,8,6.2645
2026,2,9,6.1339
2026,2,10,6.3204
2026,2,11,6.4661
2026,2,12,6.5549
2026,2,13,6.312
2026,2,14,6.3386
2026,2,15,6.3811
2026,2,16,6.4526
2026,2,17,6.0994
2026,2,18,5.7922
2026,2,19,6.3449
2026,2,20,6.42
2026,2,21,6.1795
2026,2,22,6.2388
2026,2,23,5.8589
2026,2,24,5.4571
2026,2,25,2.651
2026,2,26,6.5438
2026,2,27,6.4946
2026,2,28,6.2837
2026,3,1,5.9928
2026,3,2,5.3911
2026,3,3,6.5489
2026,3,4,6.6941
2026,3,5,6.6898
2026,3,6,6.7111
2026,3,7,6.5918
2026,3,8,6.601
2026,3,9,6.7258
2026,3,10,6.852
2026,3,11,6.907
2026,3,12,6.8933
2026,3,13,6.8443
2026,3,14,6.6502
2026,3,15,6.0322
2026,3,16,6.3706
2026,3,17,6.0756
2026,3,18,5.6081
2026,3,19,6.4382
2026,3,20,6.4934
2026,3,21,6.3586
2026,3,22,6.5345
2026,3,23,5.8471
2026,3,24,4.4928
2026,3,25,6.3348
2026,3,26,6.9979
2026,3,27,6.9605
2026,3,28,5.6287
2026,3,29,4.589
2026,3,30,6.0862
2026,3,31,6.2736
2026,4,1,6.2815
2026,4,2,5.1682
2026,4,3,6.0276
2026,4,4,5.8946
2026,4,5,6.7836
2026,4,6,7.0896
2026,4,7,7.1558
2026,4,8,6.9998
2026,4,9,6.0494
2026,4,10,6.8789
2026,4,11,5.6878
2026,4,12,5.6822
2026,4,13,6.3914
2026,4,14,6.7625
2026,4,15,6.6907
2026,4,16,-999.0
2026,4,17,-999.0
2026,4,18,-999.0
2026,4,19,-999.0
2026,4,20,-999.0
